WORDCOUNTS,WEIGHT
the,1289
of,1228
and,970
in,650
to,403
a,294
that,233
is,176
on,176
as,160
for,153
from,134
j,129
with,116
complex,109
at,106
this,104
by,97
are,94
pp,93
or,93
m,92
complexity,90
shell,89
social,88
r,87
an,85
p,82
have,79
university,77
evolution,75
not,74
archaeological,72
archaeology,71
archaic,71
american,68
mounds,65
among,65
coast,64
it,63
mound,63
were,62
societies,58
be,55
new,54
has,53
g,53
these,53
e,51
history,51
been,51
cultural,50
was,49
but,49
more,49
northwest,48
evidence,48
california,47
they,44
point,42
k,42
prehistoric,41
late,40
c,40
research,38
b,38
ethnographic,38
evolutionary,38
other,37
inequality,36
island,35
change,35
about,35
antiquity,35
one,34
those,34
l,34
data,34
southern,34
over,34
resources,33
et,33
economic,33
than,32
t,32
between,32
north,32
production,31
some,31
south,31
emergent,31
d,31
s,30
human,30
such,30
period,30
anthropological,30
emergence,30
middle,30
also,29
into,28
egalitarian,28
sassaman,27
journal,27
we,27
hayden,27
populations,27
cambridge,27
recent,27
no,26
organization,26
pacific,26
food,26
historical,26
h,25
his,25
subsistence,25
sites,25
foragers,25
all,24
anthropology,24
arnold,24
before,23
case,23
poverty,23
site,23
well,23
structures,23
san,23
use,23
variation,23
southeastern,23
coastal,22
their,22
chumash,22
i,21
work,21
under,21
any,21
if,20
environmental,20
chiefdoms,20
relations,20
perspective,20
florida,20
may,20
theory,20
through,20
early,20
large,19
thus,19
its,19
two,19
rings,19
many,19
model,19
mortuary,19
although,19
archaeologists,18
resource,18
academic,18
society,18
perspectives,18
channel,18
when,18
complexes,18
w,18
bp,17
study,17
literature,17
status,17
only,17
can,17
control,17
studies,16
labor,16
sociocultural,16
ranking,16
during,16
indeed,16
regional,16
features,16
northern,16
francisco,16
ca,16
groups,15
lower,15
state,15
primitive,15
vol,15
central,15
bay,15
fig,15
storage,15
process,15
prehistory,15
river,15
population,15
suggest,15
southeast,15
al,15
dating,15
organizational,15
hunting,14
ad,14
economies,14
alabama,14
record,14
department,14
formations,14
settlement,14
press,14
power,14
others,14
ecology,14
empirical,14
construction,14
america,14
researchers,14
conditions,14
northeast,13
price,13
columbia,13
whose,13
greater,13
kalahari,13
structural,13
matson,13
culture,13
time,13
so,13
high,13
exchange,13
debate,13
much,13
differentiation,13
years,13
simple,12
there,12
political,12
surplus,12
interior,12
york,12
how,12
origins,12
behavioral,12
circular,12
because,12
small,12
world,12
strategies,12
locations,12
raab,12
hunters,12
sociopolitical,12
particular,12
ecological,12
each,12
suggests,12
intensified,12
area,12
foraging,11
long,11
marine,11
cases,11
most,11
several,11
generally,11
he,11
same,11
ethnohistoric,11
anthropologist,11
forms,11
v,11
region,11
including,11
would,11
present,11
louisiana,11
hierarchical,11
analysis,11
intensification,11
simply,11
current,11
past,11
what,11
accounts,11
does,10
village,10
ceremonial,10
first,10
nature,10
definition,10
along,10
review,10
traits,10
without,10
notion,10
institutionalized,10
burials,10
intensive,10
concept,10
approach,10
likely,10
museum,10
community,10
ring,10
watson,10
do,10
existing,10
material,10
maritime,10
which,10
three,10
structure,10
following,10
alternative,10
economy,10
them,10
form,10
agricultural,10
mode,10
little,10
f,9
contexts,9
worldwide,9
british,9
eastern,9
heterarchy,9
clear,9
russo,9
hierarchy,9
development,9
apparently,9
across,9
communism,9
after,9
ames,9
n,9
age,9
coupland,9
sedentism,9
hereditary,9
documented,9
least,9
few,9
contact,9
islands,9
communities,9
riverine,9
plan,9
feasting,9
range,9
significant,9
national,9
households,9
patterns,9
institution,9
provide,9
life,9
practice,9
smithsonian,9
different,9
best,9
both,9
level,9
include,9
corporate,8
modern,8
properties,8
either,8
suggesting,8
differences,8
atlantic,8
mississippi,8
papers,8
system,8
key,8
politics,8
ritual,8
ranked,8
de,8
